Part Identifier,Part Name,Source Dataset(s),Issue Type,Description,Suggested Action
FA243,6-32 x 3/8 Flat Slot,Columbia Parts Master,Missing From Catalog,Part 'FA243' (6-32 x 3/8 Flat Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA243' or map it to an existing SKU.
FA244,6-32 x ½ Pan Slot,Columbia Parts Master,Missing From Catalog,Part 'FA244' (6-32 x ½ Pan Slot) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA244' or map it to an existing SKU.
FA248,6-32 x 5/8 Flat Slot,Columbia Parts Master,Missing From Catalog,Part 'FA248' (6-32 x 5/8 Flat Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA248' or map it to an existing SKU.
FA249,8-32 x 3/16 Socket Head Set Screw,Columbia Parts Master,Missing From Catalog,Part 'FA249' (8-32 x 3/16 Socket Head Set Screw) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA249' or map it to an existing SKU.
FA254,8-32 Nyloc Nut,Columbia Parts Master,Missing From Catalog,"Part 'FA254' (8-32 Nyloc Nut) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA254' or map it to an existing SKU.
FA257,8-32 x ¼ Fillister Slot,Columbia Parts Master,Missing From Catalog,Part 'FA257' (8-32 x ¼ Fillister Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA257' or map it to an existing SKU.
FA258,8-32 x ¼ Half Dog Set,Columbia Parts Master,Missing From Catalog,Part 'FA258' (8-32 x ¼ Half Dog Set) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA258' or map it to an existing SKU.
FA259,8-32 x 5/16 Binder Slot,Columbia Parts Master,Missing From Catalog,Part 'FA259' (8-32 x 5/16 Binder Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA259' or map it to an existing SKU.
FA264,8-32 x 5/8 Truss Slot,Columbia Parts Master,Missing From Catalog,Part 'FA264' (8-32 x 5/8 Truss Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA264' or map it to an existing SKU.
FA265,8-32 x ¾ Truss Slot,Columbia Parts Master,Missing From Catalog,Part 'FA265' (8-32 x ¾ Truss Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA265' or map it to an existing SKU.
FA277,#6 Belleville Washer,Columbia Parts Master,Missing From Catalog,"Part 'FA277' (#6 Belleville Washer) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA277' or map it to an existing SKU.
FA282,10-32 x 1 Flat Slot,Columbia Parts Master,Missing From Catalog,Part 'FA282' (10-32 x 1 Flat Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA282' or map it to an existing SKU.
FA291,¼ - 20 Hex Nut,Columbia Parts Master,Missing From Catalog,Part 'FA291' (¼ - 20 Hex Nut) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA291' or map it to an existing SKU.
FA293,4-40 x ¾ Binder Slot,Columbia Parts Master,Missing From Catalog,Part 'FA293' (4-40 x ¾ Binder Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA293' or map it to an existing SKU.
CPT1,Predator Head Hard Black Anodized,Columbia Parts Master,Missing From Catalog,"Part 'CPT1' (Predator Head Hard Black Anodized) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPT1' or map it to an existing SKU.
CPT103,Predator Taper Body,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT103' (Predator Taper Body) has near catalog match SKU 'CT-103' (Columbia Taper Barrel Main Body (CT-103)). Similarity may indicate same part with different SKU format.,Verify if 'CPT103' == 'CT-103'; consolidate or correct SKU in catalog.
CPT126PA,Pump Action Predator Hand Grip Body,Columbia Parts Master,Missing From Catalog,"Part 'CPT126PA' (Pump Action Predator Hand Grip Body) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPT126PA' or map it to an existing SKU.
CPT130,Predator Extension Shaft,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT130' (Predator Extension Shaft) has near catalog match SKU 'CT-130' (Columbia CT130 - Taper Extension Shaft (CT-130)). Similarity may indicate same part with different SKU format.,Verify if 'CPT130' == 'CT-130'; consolidate or correct SKU in catalog.
CPT1A,Head Mounting Collar,Columbia Parts Master,Missing From Catalog,"Part 'CPT1A' (Head Mounting Collar) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPT1A' or map it to an existing SKU.
CPT87,Predator Cap,Columbia Parts Master,Missing From Catalog,"Part 'CPT87' (Predator Cap) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPT87' or map it to an existing SKU.
CT36-BLACK,Predator Return Spring Tube,Columbia Parts Master,Missing From Catalog,"Part 'CT36-BLACK' (Predator Return Spring Tube) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CT36-BLACK' or map it to an existing SKU.
CT45-BLACK,Predator Connecting Rod,Columbia Parts Master,Missing From Catalog,"Part 'CT45-BLACK' (Predator Connecting Rod) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CT45-BLACK' or map it to an existing SKU.
CPT124,1st Generation PTAPER Guard Ring,Columbia Parts Master,Missing From Catalog,"Part 'CPT124' (1st Generation PTAPER Guard Ring) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPT124' or map it to an existing SKU.
CPT124A,Sleeve Brass Insert,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT124A' (Sleeve Brass Insert) has near catalog match SKU 'CT14A' (Columbia Taper Adjustable Brake (CT14A)). Similarity may indicate same part with different SKU format.,Verify if 'CPT124A' == 'CT14A'; consolidate or correct SKU in catalog.
CPT125,Predator Rollers,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT125' (Predator Rollers) has near catalog match SKU 'CT-125' (Columbia Taper Roller (CT-125)). Similarity may indicate same part with different SKU format.,Verify if 'CPT125' == 'CT-125'; consolidate or correct SKU in catalog.
CPT125A,Predator Roller Bushings,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT125A' (Predator Roller Bushings) has near catalog match SKU 'CT-125A' (Columbia CT125A - Columbia Taper Bearing (CT-125A)). Similarity may indicate same part with different SKU format.,Verify if 'CPT125A' == 'CT-125A'; consolidate or correct SKU in catalog.
FA363,"4-40 X 1"" Socket Head Screw",Columbia Parts Master,Missing From Catalog,"Part 'FA363' (4-40 X 1"" Socket Head Screw) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA363' or map it to an existing SKU.
PART #,ASSMBLY AND MAINTENANCE KITS,Columbia Parts Master,Missing From Catalog,"Part 'PART #' (ASSMBLY AND MAINTENANCE KITS) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'PART #' or map it to an existing SKU.
CTA14,Adjustable Brake Assembly,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA14' (Adjustable Brake Assembly) has near catalog match SKU 'CT14' (Columbia Taper Adjustable Brake Holder (CT14)). Similarity may indicate same part with different SKU format.,Verify if 'CTA14' == 'CT14'; consolidate or correct SKU in catalog.
CTA47,Crimping Arm Assembly (Formerly CTA-48),Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA47' (Crimping Arm Assembly (Formerly CTA-48)) has near catalog match SKU 'CT47' (Columbia Taper Crimping Wheel (CT47)). Similarity may indicate same part with different SKU format.,Verify if 'CTA47' == 'CT47'; consolidate or correct SKU in catalog.
CTA57,Tape Advance Carriage Assembly,Columbia Parts Master,Missing From Catalog,"Part 'CTA57' (Tape Advance Carriage Assembly) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CTA57' or map it to an existing SKU.
CT59,Magnet,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT59' (Magnet) has near catalog match SKU 'CTA59' (Columbia Taper Magnet (CTA59)). Similarity may indicate same part with different SKU format.,Verify if 'CT59' == 'CTA59'; consolidate or correct SKU in catalog.
CTA80,Manual Drive Grip Assembly,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA80' (Manual Drive Grip Assembly) has near catalog match SKU 'CT-80' (Columbia Taper Manual Drive Grip (CT-80)). Similarity may indicate same part with different SKU format.,Verify if 'CTA80' == 'CT-80'; consolidate or correct SKU in catalog.
CTA87-CL,Cam Lock Taper Cap,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA87-CL' (Cam Lock Taper Cap) has near catalog match SKU 'CTA-87' (Columbia Cover Plate Assembly (CTA-87)). Similarity may indicate same part with different SKU format.,Verify if 'CTA87-CL' == 'CTA-87'; consolidate or correct SKU in catalog.
FA235,6-32 x 1/8 Set Screw,Columbia Parts Master,Missing From Catalog,Part 'FA235' (6-32 x 1/8 Set Screw) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA235' or map it to an existing SKU.
AH19,1/16 Allen Key,Columbia Parts Master,Missing From Catalog,Part 'AH19' (1/16 Allen Key) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'AH19' or map it to an existing SKU.
CTA93,Mud Gate Assembly,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA93' (Mud Gate Assembly) has near catalog match SKU 'CT93' (Columbia Taper Mud Shut Off Lever Arm (CT93)). Similarity may indicate same part with different SKU format.,Verify if 'CTA93' == 'CT93'; consolidate or correct SKU in catalog.
CTA97,Mud Supply Valve Assembly,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTA97' (Mud Supply Valve Assembly) has near catalog match SKU 'CT97' (Columbia Taper Mud Supply Valve Body 054059F (CT97)). Similarity may indicate same part with different SKU format.,Verify if 'CTA97' == 'CT97'; consolidate or correct SKU in catalog.
FA286,¼ x ½ Flat Washer,Columbia Parts Master,Missing From Catalog,Part 'FA286' (¼ x ½ Flat Washer) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA286' or map it to an existing SKU.
CTR-42A,Taper Blades Kit,Columbia Parts Master,Missing From Catalog,Part 'CTR-42A' (Taper Blades Kit) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CTR-42A' or map it to an existing SKU.
CTR-63,Taper Needles Kit,Columbia Parts Master,Missing From Catalog,Part 'CTR-63' (Taper Needles Kit) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CTR-63' or map it to an existing SKU.
CTR-72,Taper Cables Kit,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CTR-72' (Taper Cables Kit) has near catalog match SKU 'CTR-2' (Columbia Taper Head Maintenance Kit (CTR-2)). Similarity may indicate same part with different SKU format.,Verify if 'CTR-72' == 'CTR-2'; consolidate or correct SKU in catalog.
CPTA87-CL,Cam Lock Predator Taper Cap,Columbia Parts Master,Missing From Catalog,"Part 'CPTA87-CL' (Cam Lock Predator Taper Cap) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CPTA87-CL' or map it to an existing SKU.
Old Parts may have limited availability,,Columbia Parts Master,Missing From Catalog,Part 'Old Parts may have limited availability' () from section 'Old Parts' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'Old Parts may have limited availability' or map it to an existing SKU.
CT1,Taper Head,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT1' (Taper Head) has near catalog match SKU 'CTR-1' (Columbia Taper Maintenance Kit (CTR-1)). Similarity may indicate same part with different SKU format.,Verify if 'CT1' == 'CTR-1'; consolidate or correct SKU in catalog.
CT15A,Old Style Ratchet Rod,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT15A' (Old Style Ratchet Rod) has near catalog match SKU 'CT-125A' (Columbia CT125A - Columbia Taper Bearing (CT-125A)). Similarity may indicate same part with different SKU format.,Verify if 'CT15A' == 'CT-125A'; consolidate or correct SKU in catalog.
